"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.73","","","","","","","38.008","36.045","38.753","40.079","38.16","43.924","43.774","44.473","43.753","43.208","43.543","56.148","59.453","56.614","58.232","",
"American Samoa","ASM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.38","","","","","","","","","","60.47","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","40.014","41.246","41.422","40.836","40.03","41.007","42.223","44.09","44.716","45.924","47.723","48.488","47.232","46.798","46.545","47.686","49.268","49.369","49.27","49.717","50.068","51.216","51.52","51.862","52.593","52.622","54.013","54.717","55.318","55.887","55.594","55.485","55.767","55.661","55.42","55.049","55.532","55.924","56.469","57.299","57.854","56.385","58.164","60.063",
"Austria","AUT","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","37.34","","37.71","37.13","39.14","38.7","39.31","39.77","40.11","40.62","41.42","41.93","43.04","43.26","46.718","51.494","50.915","51","51.615","52.463","52.665","53.003","54.171","54.439","47.491","48.406","49.187","50.148","51.107","51.393","51.729","52.068","52.441","52.42","52.402","52.48","52.875","53.158","53.409","53.666","53.096","52.496","53.839",
"Azerbaijan","AZE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.12","43.64","43.29","63.436","62.529","61.657","60.794","60.178","59.409","58.58","58.2","57.84","57.71","57.68","57.5","57.6","57.8","58.3","58.7","59","59.2","59.4","57.816","56.549","57.558","57.9",
"Burundi","BDI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8","","","","","","","","74.711","","","","","","","","78.896","","","78.92","","","77.485","","",
"Belgium","BEL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","24.64","","25.43","25.61","","","29.835","29.478","29.957","30.317","30.123","30.918","31.506","32.375","33.962","35.206","35.295","35.172","35.583","35.519","36.274","36.784","38.762","40.035","38.969","39.253","39.515","40.584","41.349","41.556","42.597","43.346","43.145","43.648","43.655","43.61","43.866","44.26","44.279","44.164","45.284","46.766","47.371","46.689","47.108","48.133",
"Benin","BEN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.13","","","","","","","73.79","67.707","","","","","","","55.644","","","","",
"Burkina Faso","BFA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","72.8","","","","","","","","","72","","","","","","","","","","","","60.09","","","","","","","","52.84","","","","36.192","","","","",
"Bangladesh","BGD","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","9.58","9.72","11.49","","","72.63","","68.3","","","","","61.03","","","","54.02","","","24.81","","","27.121","","","","33.944","","","31.076","","","33.19","33.918","","","","","22.387",
"Bulgaria","BGR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.593","37.685","38.047","38.868","40.159","40.033","42.039","44.006","45.538","44.372","43.179","42.429","42.642","42.806","43.559","44.472","44.337","46.572","46.928","48.337","46.853","46.586","48.52",
"Bahrain","BHR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","8.56","","","","","","","","","","","13.5","25.79","14.5","15.6","16.2","16","15.8","16.1","16.9","18.2","19.2","31.78","21","21.2","29.4","26.39","40.51","32","","34.92","42.08","40.81","","","","42.01","","","","","","","",
"Bahamas, The","BHS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","26.59","","","","","","","","","","41.19","","60.1","58.8","60.2","61.04","61.3","58.2","62.5","60.26","63.5","","66.1","65.1","","","","","","69","59.4","","59.6","59.42","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.547","","","","","19.95","20.637","23.011","23.626","23.127","22.874","22.514","22.939","22.674","23.164","22.423","24.809","24.992","26.628","29.905","33.275","34.762",
"Belarus","BLR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.06","","","","","","","","","","","","52.7","","","","","","85","64.102","64.418","63.865","64.214","63.507","63.752","63.878",
"Belize","BLZ","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.38","","27.66","30.75","31.15","31.55","","","","","","36.89","","","","","","","41.79","40.684","40.83","42.621","43.73","44.024","","49.418","","41.215","",
"Bermuda","BMU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.93","","","","","","","","","66.735","66.412","","","","","","","","","","","","",
"Bolivia","BOL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","24.66","24.03","24.87","","","22.99","22.3","22.11","","38.84","42.858","43.84","43.623","41","43.1","52.33","75.21","32.93","","58.293","60.11","61.7","57.6","60.7","60.7","56.899","60.292","40.96","60.334","60.613","","60.451","56.468","57.378","59.684","52.781","54.817","56.935","61.486","63.757","53.798","67.188","68.856",
"Brazil","BRA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","37.64","","","33.38","","","","","","","","","41.93","42.01","43.29","43.4","42.043","42.445","","48.426","51","","45.707","43.788","44.018","43.87","44.471","","46.951","48.304","48.07","49.402","50.038","50.491","50.439","50.82","50.451","","49.026","47.629","47.747","48.032","47.574","46.04","46.106","46.595","47.292","42.096","43.779","47.571",
"Barbados","BRB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","27.65","","","","","43.79","","","44.38","44.92","47","49.9","48.13","","","","","","","","","","","","","","","","","","","56","55.42","55.6","53.6","54.83","52.71","55.357","56.518","55.193","54.395","54.736","","","",
"Brunei Darussalam","BRN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","28.67","","","","","","","","","","43.35","","","","","","","","","","52.43","","","","","","","","","","","","","54.068","","","50.869","51.54","50.329","50.235","51.365","49.744",
"Bhutan","BTN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.97","53.7","","","62.51","61.38","59.95","61.84","60","52.92","54.18","","","53.17","59.159","59.73","61.34","49.236",
"Botswana","BWA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","45.15","","","","","","34.8","","","39","","34.765","","36.65","","40.32","","","","","","42.193","","","44.833","41.54","","","49.11","","","","","","45.958","47.166","44.115","44.485",
"Central African Republic","CAF","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","41.947","42.266","43.363","45.087","46.387","47.724","46.529","46.845","47.692","49.123","50.284","51.262","52.717","53.595","53.766","52.769","51.942","51.506","51.884","52.241","52.128","52.636","53.716","54.616","55.422","55.657","56.567","57.46","57.738","57.672","58.045","58.751","58.854","57.958","57.802","57.696","57.896","58.141","57.687","57.591","57.517","57.892","58.028","58.453","54.111","56.57","58.316",
"Central Europe and the Baltics","CEB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.5592567151234","","46.77340122533","46.6227094462468","46.1980482623488","44.1763542732177","43.7116325466109","42.0729124306341","41.7603507069971","41.5862388639015","41.46552122157","42.4510744802669","43.4728622506369","44.1467964650926","43.6488923306231","43.0998734590437","42.9937412908205","43.2643986012305","43.3093276914207","44.2303187811878","44.8127779481819","45.4497386293344","46.5796199314899","47.0963543244217","47.2502007055393","46.6278345928673","47.0022775549774","48.0863503260343",
"Switzerland","CHE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","33.69","34.33","35.32","","","","","37.22","38.04","","40.46","41.76","43.31","50.586","50.682","50.515","49.955","50.237","54.625","54.682","55.773","56.107","55.829","56.791","57.466","56.794","56.297","56.319","56.948","57.234","58.863","58.784","56.864","57.632","57.957","58.137","58.817","59.223","59.691","59.444","59.699","60.015","59.386","58.922","58.676",
"Channel Islands","CHI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","23.72","24.2","22.37","24.19","","","","","","","29.423","","31.694","","32.472","","32.98","33.717","34.124","33.19","33.09","32.365","32.168","33.312","34.264","35.322","36.512","37.652","38.995","38.876","42.236","44.615","45.219","46.129","46.733","46.788","47.08","47.806","48.036","48.408","40.455","42.205","45.69",
"China","CHN","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.295","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.942","66.024","","","56.925","44.385","","54.542","","","",
"Cameroon","CMR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","51.86","","","","","","","","","","","57.54","","","","","56.6","","","","","","75.465","","","67.21","","","","64.487","","","","","","","45.31","",
"Congo, Dem. Rep.","COD","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.666","","","","","","","60.267","","","","","","","","59.635","","",
"Congo, Rep.","COG","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.82","","","","39.144","","","","","","","","","","","","","",
"Colombia","COL","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","12.58","","","","","","","","","41.15","39.84","45.8","46.12","30.33","48.82","","","43.96","44.55","44.46","43.12","43.16","43.005","44.681","43.53","43.871","","42.705","43.058","45.487","46.755","47.791","48.941","48.864","48.943","49.27","48.603","48.121","47.018","45.698","40.714","42.39","44.361",
"Comoros","COM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.936","","","","","","","","","","29.586","","","","","","","38.45","",
"Cabo Verde","CPV","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.048","","","","","","40.581","","45.49","43.09","44.43","","","",
"Costa Rica","CRI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.473","37.96","38.132","36.505","39.392","39.719","41.465","41.794","40.465","40.382","40.684","45.617","46.022","45.708","44.64","41.106","41.202","42.865","45.088","38.116","39.948","42.454",
"Caribbean small states","CSS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3617416828532","","","","42.8981023455242","","","43.3175269393698","","","","","","","","","","","51.5110744711008","49.0827873096154","47.1431021228542","47.8425770756931","47.9726987108933","46.8739387953696","47.4469183318243","46.5957763071056","48.3398478592398","","","49.0662261093726","","","",
"Cuba","CUB","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1","","38.41","40","","41.5","40.7","40.13","55.3","55.3","","","","","","","","","",
"Curacao","CUW","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.14","","43.04","","",
"Cayman Islands","CYM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.85","","","","","","","","77.21","","","","","","","77.15","75.82","77.45","76.56","74.76","73.31","76.66","75.89","76.58","76.77","","","","","","","",
"Cyprus","CYP","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","19.26","20.36","","","","","","","30.3","","31.63","44.34","45.5","46.06","45.11","44.99","","","45.57","","","","42.957","45.528","48.805","50.25","51.386","50.028","49.85","51.425","53.249","53.477","53.597","54.131","53.071","50.648","48.416","49.754","49.189","48.879","50.419","52.357","52.877","52.276","53.258","55.019",
"Czechia","CZE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.469","49.837","49.823","49.442","48.824","47.669","46.634","46.179","46.208","46.337","45.778","45.534","45.684","46.083","46.424","46.554","45.701","45.147","45.566","45.936","46.695","47.101","48.138","49.441","50.418","51.296","51.335","50.279","50.176","50.717",
"Germany","DEU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","37.089","37.351","37.634","38.144","38.164","38.784","39.35","42.579","44.997","43.929","43.167","42.852","43.086","43.251","43.078","43.356","44.441","44.817","45.459","45.306","45.121","44.451","45.539","46.688","47.798","48.503","49.055","49.61","50.989","51.232","51.901","52.226","52.397","53.551","54.032","54.316","55.033","53.633","53.536","54.501",
"Djibouti","DJI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.67","","","","","",
"Dominica","DMA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.93","","23.08","","","","","","43.78","","43.92","","40.8","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","49.11","","49.69","50.34","52","50.86","","50.89","","52.174","53.277","53.999","56.058","56.054","56.329","55.157","55.978","55.52","56.237","54.997","53.047","52.504","53.793","55.211","55.701","56.487","57.223","56.807","57.64","56.287","57.1","57.204","58.169","58.116","57.467","56.269","54.867","54.124","53.618","53.177","52.947","53.027","53.889","54.123","54.484","54.933","54.295","55.121","56.751",
"Dominican Republic","DOM","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1","27.8","27","27.2","26.3","30.79","","25.8","27.5","35.738","34.235","36.089","35.337","35.316","35.915","37.095","37.312","38.868","35.942","38.79","40.078","41.108","40.399","41.044","43.092","43.804","45.234","45.934","47.771","43.445","45.031","46.537",
"Algeria","DZA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","2.5","","","","","","","","","4.77","","","","","","","","","","","","","","","","","","","","","","","","","11.42","11.45","","","","12.35","13.6","13.849","13.46","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1879439220001","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4162093726859","","","","","","33.3665954958193","","","","","31.8964099587384","","","","","32.1036570721328","","31.707985431771","","","","","","27.8598960769472","30.5016697420147","30.7519740475093","31.6649325034599","32.7646003957795",
"East Asia & Pacific","EAS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2279740924802","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8837312508023","46.4421465512082","47.6735223712766","47.1059088482613","47.1018795391959","47.5038098033291","48.8544546340493","48.6491227784934","48.6297447425841","49.4335569587216","49.8391368145723","49.8882936374994","50.4529465901327","51.5449770576014","50.8662632556893","48.2326588323662","47.2924763949869","47.0242333990707","44.8127130164317","45.374063364715","49.5344342373771",
"Europe & Central Asia","ECS","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4778851491554","44.0356354832512","43.3935300439401","43.5605334702233","42.971886110804","42.3974168558255","42.4724209995905","43.9069286246037","44.4116581546162","44.6549388148476","44.9825952159315","44.9986415961554","45.572985676364","45.5832778856609","46.0387583656792","46.6643645533399","47.4947234064752","47.1983699856372","46.9964099775702","47.3625974709632","47.4994013977527","47.5161647159223","48.0953047541186","48.8127997105812","48.9382980198096","48.2301664234799","48.1900824486409","48.3445288486561","46.2320047565141","46.8290234103351","49.1442265557117",
"Ecuador","ECU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.26","43.09","44.53","","43.014","51.877","46.68","46.174","49.864","49.529","50.506","50.08","49.595","46.958","45.857","45.308","46.46","46.548","45.955","49.794","52.396","53.618","52.237","52.028","44.721","50.039","51.185",
"Egypt, Arab Rep.","EGY","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","4.35","","4.82","","5.66","6.6","5.22","5.51","3.81","3.8","14.78","15.43","","","","","27.42","21.92","17.31","19.15","17.35","17.89","16.56","11.5","","15.58","16.33","10.4","15.27","13.96","","","","","","17.624","17.671","17.957","17.354","17.014","17.378","17.529","17.042","17.505","16.869","14.382","12.227","11.837","12.873","",
"Euro area","EMU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","33.0864298052569","33.9545611564792","35.5730616882825","34.0040729002621","34.3507303308617","34.8600706018141","35.4023886645277","36.9352942284238","37.9435665968531","37.6313377439588","37.1626824837533","37.1718621537192","37.4719159104074","37.7385508134413","38.0449663912677","38.6916042215719","39.6916543045555","40.5545066791709","41.2794386058141","41.8124358996576","42.4011952903709","42.4341782727469","43.0619874488555","43.8880760151253","44.7653207463206","45.2954995238911","44.854020269587","44.7219997046567","44.8883174917215","44.7401010728873","44.6323605830366","44.8232102436588","45.1847281558376","45.8661005909984","46.4473899095154","47.005122752729","47.5970155676009","46.6554268134149","47.4430807295182","48.5158303695857",
"Eritrea","ERI","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","26.31","25.48","24.89","23.71","22.52","22.14","22.11","21.34","","20.749","21.828","22.853","23.934","24.744","25.035","25.869","25.03","24.863","25.567","26.302","27.42","28.196","30.198","32.429","33.614","35.367","36.779","38.242","40.92","42.472","43.721","43.886","42.121","41.607","41.296","40.059","39.147","39.605","40.609","41.703","42.613","43.498","44.26","42.624","44.223","45.338",
"Estonia","EST","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.001","63.778","59.579","55.832","54.746","52.921","52.545","52.876","48.129","46.383","46.541","45.385","46.747","46.992","48.612","49.92","51.719","52.028","51.93","49.066","47.331","49.233","50.373","50.882","50.87","52.575","53.209","54.418","54.686","54.981","53.743","55.055","57.563",
"Ethiopia","ETH","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.72","","","","","","72.361","","","","","","","","72.112","","","","","","","","54.566","",
